dataset,outcome,model,seed,n_train,n_validation,n_test,n_features,fit_seconds,predict_seconds,qini_auc_normalized,qini_coefficient,uplift_auc_normalized,auuc,uplift_at_10pct,uplift_at_20pct,ate_test,cate_mean,cate_std,test_events_control,test_events_treated
hillstrom,conversion,t_learner,0,38400,12800,12800,18,1.3349691909970716,0.0934890999924391,-0.197030978115181,-0.0003658099037103,-0.0032898022188809,0.0019537817425511,0.0059370725034199,0.0022482807265032,0.0050245049571551,0.0056366489607524,0.0431409977256242,24,91
hillstrom,conversion,x_learner,0,38400,12800,12800,18,0.843045637011528,0.0326268739299848,0.1732509099287776,0.0003216595648311,0.0027612912052225,0.002981004163075,0.0132801009753547,0.009179769506232,0.0050245049571551,0.0047112174150693,0.0160616875550982,24,91
hillstrom,conversion,dr_learner,0,38400,12800,12800,18,5.720595975057222,0.03368233400397,0.1664986432634566,0.0003091232314976,0.0026918750899261,0.0029692202118152,0.0113353638808001,0.0081204153804058,0.0050245049571551,0.0044795393124725,0.0279687702764619,24,91
hillstrom,conversion,dragonnet,0,38400,12800,12800,18,9.65596090303734,0.0031233069021254,-0.2613343228563183,-0.0004851962082043,-0.0042914993891917,0.0017837354848252,0.0010800564274378,-0.0007760801599664,0.0050245049571551,0.0049985074084997,0.0028498890944094,24,91
hillstrom,conversion,t_learner,1,38400,12800,12800,18,1.8366822690004485,0.0986160750035196,0.2722489587625518,0.000526579317135,0.0046598944110114,0.0031877562254931,0.0098259705488621,0.0106568832983927,0.0047924430698149,0.0065951538556287,0.040458444604222,25,91
hillstrom,conversion,x_learner,1,38400,12800,12800,18,0.8387747600208968,0.036309667979367,0.4228136767350071,0.0008177990401964,0.0071904050240145,0.0036175914875011,0.0150349679425877,0.0097306037994634,0.0047924430698149,0.0056052716787391,0.0146979122793161,25,91
hillstrom,conversion,dr_learner,1,38400,12800,12800,18,6.092464540037327,0.0209246589802205,0.3172913124742669,0.0006136994735076,0.0054640419954162,0.0033243496014938,0.0102616982528502,0.0058066735466116,0.0047924430698149,0.0054810403156201,0.0276979633740524,25,91
hillstrom,conversion,dragonnet,1,38400,12800,12800,18,11.099452099064363,0.0028356999391689,0.2786660987328451,0.0005389912403941,0.0048586469668694,0.0032215165489958,0.0240635372214319,0.0089466484268125,0.0047924430698149,0.0048802212950249,0.0018929490765617,25,91
hillstrom,conversion,t_learner,2,38400,12800,12800,18,1.5624240449396891,0.0612738550407812,0.218575268653411,0.0004227645763395,0.0037714348677205,0.0030368415292212,0.011968676449853,0.0102092352828017,0.0047924430698149,0.006653586214413,0.0439445419290459,25,91
hillstrom,conversion,x_learner,2,38400,12800,12800,18,0.5916482690954581,0.0186993030365556,0.0535643017296482,0.0001036031636477,0.0008919215588844,0.0025477242928819,0.0036687631027253,0.006115011146323,0.0047924430698149,0.0055722984673811,0.0157615493068694,25,91
